ID, Depth, batch size, dice, bce, focal, loss, acc, dice_score, jaccard index, precision, recall
0,3,16,0.0,0.0,1.0,0.9984913825988769,0.0,0.973908543586731,0.32995545864105225,0.28998979926109314,8.598657974559499e-06
1,4,16,0.0,0.0,1.0,9.38498714034286e-06,0.9985432744026184,0.369261234998703,0.9562519192695618,0.0,0.31558141112327576
2,3,32,0.0,0.0,1.0,0.997784948348999,0.0,0.6625014543533325,0.043752171099185944,0.001289080947051957,0.0625043734908104
3,4,32,0.0,0.0,1.0,8.350454047789668e-06,0.9983983278274536,0.16166141629219055,0.9989451766014099,2.3349937691818923e-05,0.11736196279525757
4,3,64,0.0,0.0,1.0,0.9975393414497375,0.00215699534420537,0.00010461224155733362,0.7001214623451233,0.0002168128703488037,0.0015143408672884107
5,4,64,0.0,0.0,1.0,0.9980080366134644,0.00036148849664527913,0.0,0.8500000238418579,0.0,0.0
6,3,16,1.0,0.0,0.0,0.33390353973954917,0.9989301562309265,0.0,0.5820465087890625,0.6893371939659119,0.6348280906677246
7,4,16,1.0,0.0,0.0,0.3211613241583109,0.9989789009094239,0.5858602523803711,0.6999847292900085,0.0012731481110677123,0.6336822509765625
8,3,32,1.0,0.0,0.0,0.3755178406834602,0.9989612817764282,0.6786161065101624,0.0038391933776438236,0.575385570526123,0.5795267820358276
9,4,32,1.0,0.0,0.0,0.3745750643312931,0.9989849925041199,0.5832715034484863,0.7040538191795349,0.003858481300994754,0.5662900805473328
10,3,64,1.0,0.0,0.0,0.3826829679310322,0.9989214301109314,0.0032281912863254547,0.7612046599388123,0.6183014512062073,0.537513792514801
11,4,64,1.0,0.0,0.0,0.3832517385482788,0.9988747000694275,0.6184985041618347,0.00656342227011919,0.7187579870223999,0.559986412525177
12,3,16,0.5,0.0,0.5,0.16776977002046894,0.9989355206489563,0.5513213872909546,0.6832019686698914,0.0,0.6151530146598816
13,4,16,0.5,0.0,0.5,0.16607311248638645,0.998770272731781,0.0017857144121080637,0.5493069291114807,0.569351077079773,0.6970047950744629
14,3,32,0.5,0.0,0.5,0.1936245273916767,0.9988828659057617,0.003841856960207224,0.6331881880760193,0.5610060691833496,0.5850501656532288
15,4,32,0.5,0.0,0.5,0.199583223121728,0.9989875078201294,0.002662300830706954,0.7656331062316895,0.5593318939208984,0.5123451948165894
16,3,64,0.5,0.0,0.5,0.20675890976563097,0.9989366650581359,0.5888695120811462,0.00703813973814249,0.8011323809623718,0.4928121268749237
17,4,64,0.5,0.0,0.5,0.19370052646845579,0.9989446401596069,0.7721222639083862,0.007020104210823774,0.6158318519592285,0.5331661701202393
18,3,16,0.0,1.0,0.0,0.9988748908042908,0.0,0.7047836184501648,0.005663344576131235,0.5362149477005005,0.5708937644958496
19,4,16,0.0,1.0,0.0,0.9989100217819213,0.6320784687995911,0.5539124608039856,0.00048076926032081246,0.646734893321991,0.004381854963545842
20,3,32,0.0,1.0,0.0,0.9988223314285278,0.6940144896507263,0.4810020625591278,0.00011674968845909461,0.4557476043701172,0.005725417594181199
21,4,32,0.0,1.0,0.0,0.9988270759582519,0.006166882227256455,0.4877561628818512,0.0001051893486874178,0.704857587814331,0.45217639207839966
22,3,64,0.0,1.0,0.0,0.9988312125205994,0.5584713816642761,0.760785698890686,0.0033073928207159042,0.45786353945732117,0.00585184132446338
23,4,64,0.0,1.0,0.0,0.9987950086593628,0.0032965687569230795,0.7891727685928345,0.5177437663078308,0.4006664752960205,0.005978903319905414
24,3,16,0.0,0.5,0.5,0.0031885059971632213,0.9989002108573913,0.7623851299285889,0.0,0.5254935026168823,0.5271525979042053
25,4,16,0.0,0.5,0.5,0.9989375710487366,0.7893771529197693,0.0006009615608491004,0.5429465174674988,0.5360695719718933,0.002273958165638159
26,3,32,0.0,0.5,0.5,0.9988844513893127,0.7091953158378601,0.5215834379196167,0.0005161830340512097,0.4909988343715668,0.002768661976709214
27,4,32,0.0,0.5,0.5,0.9988860487937927,0.0027838654298293544,0.5120739340782166,0.7428474426269531,0.002169943880289793,0.4546724259853363
28,3,64,0.0,0.5,0.5,0.9987897038459778,0.5031934380531311,0.816062867641449,0.0018157896120101213,0.3829684257507324,0.0035115046246616947
29,4,64,0.0,0.5,0.5,0.9987972736358642,0.515884280204773,0.7935749888420105,0.0034068261738866568,0.3937917947769165,0.0028065120351253806
30,3,16,0.5,0.5,0.0,0.1672913887271758,0.998913848400116,0.6562679409980774,0.5586609244346619,0.0007211538613773882,0.6422328352928162
31,4,16,0.5,0.5,0.0,0.1772428088372116,0.9989570498466491,0.0,0.7911080121994019,0.6225736737251282,0.6010662317276001
32,3,32,0.5,0.5,0.0,0.20837985367738265,0.9989592671394348,0.00026906520361080766,0.7555437684059143,0.5522363781929016,0.5164778232574463
33,4,32,0.5,0.5,0.0,0.20006949578940159,0.998895239830017,0.5751374363899231,0.0002953980292659253,0.6841670870780945,0.5751827955245972
34,3,64,0.5,0.5,0.0,0.19948592892963352,0.9989293098449707,0.6143059134483337,0.7668461799621582,0.003829225664958358,0.5300864577293396
35,4,64,0.5,0.5,0.0,0.1896919961937677,0.9989046454429626,0.7134203314781189,0.6335862278938293,0.006759724114090204,0.5847432017326355
36,3,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1108251618311262,0.9989354372024536,0.0,0.6426112055778503,0.5470380783081055,0.6439899802207947
37,4,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.10783897096774005,0.9989887475967407,0.0014423077227547765,0.6667191386222839,0.5701035857200623,0.6482672095298767
38,3,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.12926973490450855,0.9989661812782288,0.6956881880760193,0.003964785020798445,0.5824465155601501,0.5734429359436035
39,4,32,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.13017756541536823,0.9989503502845765,0.572528600692749,0.6982435584068298,0.0035418965853750706,0.5639440417289734
40,3,64,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.12873446087240864,0.9989391803741455,0.6280121207237244,0.7520103454589844,0.004332191776484251,0.5563042163848877
41,4,64,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1275818262478322,0.9989522337913513,0.006796433124691248,0.7601818442344666,0.6316189169883728,0.5582995414733887
